INFO 2025-04-04 05:28:04,596 autoreload Watching for file changes with StatReloader
INFO 2025-04-04 06:02:06,864 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:02:06,872 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:06,886 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:06,900 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:18,268 basehttp "OPTIONS /api/issues/1/ HTTP/1.1" 200 0
INFO 2025-04-04 06:02:18,268 basehttp "OPTIONS /api/issues/1/ HTTP/1.1" 200 0
INFO 2025-04-04 06:02:18,285 basehttp "GET /api/issues/1/ HTTP/1.1" 200 409
INFO 2025-04-04 06:02:18,290 basehttp "OPTIONS /api/issues/1/comments/ HTTP/1.1" 200 0
INFO 2025-04-04 06:02:18,302 basehttp "GET /api/issues/1/ HTTP/1.1" 200 409
INFO 2025-04-04 06:02:18,306 basehttp "GET /api/issues/1/comments/ HTTP/1.1" 200 162
INFO 2025-04-04 06:02:18,313 basehttp "OPTIONS /api/users/?role=lecturer HTTP/1.1" 200 0
INFO 2025-04-04 06:02:18,319 basehttp "GET /api/issues/1/comments/ HTTP/1.1" 200 162
INFO 2025-04-04 06:02:18,324 basehttp "GET /api/users/?role=lecturer HTTP/1.1" 200 171
INFO 2025-04-04 06:02:18,338 basehttp "GET /api/users/?role=lecturer HTTP/1.1" 200 171
INFO 2025-04-04 06:02:36,838 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:02:52,830 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:52,852 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:52,870 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:52,883 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:54,705 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:54,717 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:02:58,281 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:02:58,292 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:03:04,127 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:03:04,136 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:03:34,132 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:03:37,009 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:03:37,023 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:03:37,042 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:03:37,053 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:04:04,119 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:04:17,476 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:04:17,491 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:04:34,127 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
